grant_id,title,holders_ratio,contributor_count_in_round,amount_received_in_round,amount_per_contributor,amount_per_contribution,stamps_per_amount,contribution_count,tx_count_in_round,stamps_per_tx,stamp_holders_tx,valid_stamps_count
7974,SolDAO — Building Solidity as a DAO,0.6582278481012658,158,237.7176,1.6062,1.4234586826347306,4.652579363076188,167,158,7.0,104.0,1106.0
7940,The Tapestry,0.5930232558139535,86,1991.6144,19.33606213592233,17.470301754385964,0.17925156596578135,114,86,4.151162790697675,51.0,357.0
7918,Forta Patterns - Sybil detection,0.7461538461538462,260,308.2263,1.289649790794979,1.1587454887218045,6.135102682671791,266,260,7.273076923076923,194.0,1891.0
7894,Women Buidl Foundation - Coding Camp - Women AGMI!,0.5882352941176471,17,1572.3403,78.61701500000001,74.87334761904762,0.031163737264763867,21,17,2.8823529411764706,10.0,49.0
7893,"ENS Academy: A space where we can all learn the fundamentals, skills and possibilities of ENS",0.5652173913043478,23,253.8272,10.153088,9.762584615384615,0.4885213247437627,26,23,5.391304347826087,13.0,124.0
7888,"Future Quest: A web3 ecosystem committed to fixing our future. Part game, part launch pad for public good Quests for our planet.",0.47368421052631576,57,1036.1549,19.188053703703705,18.17815614035088,0.2596136928947593,57,57,4.719298245614035,27.0,269.0
7874,Prism Collective 🏳️‍🌈 🏳️‍⚧️Creating access and opportunity in Web3 for Queer & Trans BIPOC creatives,0.6666666666666666,12,158.4192,13.2016,13.2016,0.46711509715994026,12,12,6.166666666666667,8.0,74.0
7854,ggQuest -- Creating a fairer web3 gaming experience,0.6470588235294118,17,206.7727,8.270907999999999,7.952796153846153,0.5271488934467655,26,17,6.411764705882353,11.0,109.0
7851,Follow The Black Hare: an open source game to popularize scientific methods among teenagers,0.6808510638297872,47,374.2607,7.962993617021277,7.797097916666666,0.5958413480229156,48,47,4.74468085106383,32.0,223.0
7839,Fundación DeFi Argentina,0.4090909090909091,22,104.587,4.980333333333333,4.753954545454546,0.7171063325269871,22,22,3.409090909090909,9.0,75.0
7833,50mm Collective,0.75,64,376.6569,5.9786809523809525,5.621744776119403,1.165516946589854,67,64,6.859375,48.0,439.0
7822,Zero Voting : A privacy focused Voting System,0.38461538461538464,13,87.0492,6.2177999999999995,6.2177999999999995,0.7926551881005225,14,13,5.3076923076923075,5.0,69.0
7812,Tech By Choice: Paid Open Source Initiative,0.8,80,682.4053,9.611342253521126,8.322015853658536,0.8836390924865325,82,80,7.5375,64.0,603.0
7799,JacksonMSDAO: Raising funds for emergency aid and R&D to support communities affected by water crises and long-term sustainable solutions,0.717948717948718,39,169.3511,4.704197222222223,4.2337775,1.4762230655720572,40,39,6.410256410256411,28.0,250.0
7791,Chainlist,0.6252821670428894,443,1060.723,2.3312593406593405,2.1915764462809917,2.8367443715277223,484,443,6.792325056433409,277.0,3009.0
7785,ORB: Best place to network with web3 working professionals,0.5527777777777778,360,873.6066,2.280957180156658,1.8666807692307692,2.378645033130473,468,360,5.772222222222222,199.0,2078.0
7773,DeSci Africa - Supporting scientists in Africa through Decentralized Science.,0.6058394160583942,137,709.8516,5.3372300751879695,5.070368571428571,1.124178631139241,140,137,5.824817518248175,83.0,798.0
7772,On Chain Art,0.4166666666666667,12,634.5382,48.81063076923077,48.81063076923077,0.07722151322016547,13,12,4.083333333333333,5.0,49.0
7771,"Unit Master's - 6 week long online, open, FREE blockchain education run as a public good onboarding the next 10 million people to web3",0.36633663366336633,101,5328.6109,59.20678777777778,50.74867523809524,0.05592451871462411,105,101,2.9504950495049505,37.0,298.0
7749,"CRYPTO ADVOCACY IN ACTION - More than just talk, global industry-led solutions",0.3448275862068966,29,1229.4794,33.22917297297297,12.294794,0.07238836209862484,100,29,3.0689655172413794,10.0,89.0
7748,DAO Governance Education Sessions,0.8181818181818182,11,174.5476,15.867963636363635,14.545633333333333,0.5213477584338027,12,11,8.272727272727273,9.0,91.0
7735,"Mark3d - NFT, DeFi & DAO tools for virtual worlds",0.5833333333333334,12,952.1767,50.114563157894736,50.114563157894736,0.09347004605342685,19,12,7.416666666666667,7.0,89.0
7734,P3RKS - Rewards For DAO Contributors,0.4090909090909091,22,373.0836,16.958345454545455,16.958345454545455,0.2733971688919052,22,22,4.636363636363637,9.0,102.0
7733,Warp Contracts on Arweave 🐘 Revolution of on-chain data processing,0.6666666666666666,45,299.668,6.243083333333334,6.243083333333334,0.5572833936222753,48,45,3.7111111111111112,30.0,167.0
7725,"VestLab - analytics service that is a collection of information about tokenomics, metrics, timing of upcoming listing and vesting crypto tokens",0.6481481481481481,378,1334.3821,3.8565956647398845,3.3443160401002507,1.4096412114640926,399,378,4.976190476190476,245.0,1881.0
7723,We Make Impact - Exponentially Reversing Climate Change,0.7878787878787878,33,88.6147,2.769209375,2.606314705882353,1.7717150766182135,34,33,4.757575757575758,26.0,157.0
7716,WeaveDB - Decentralized NoSQL Database on Arweave,0.35714285714285715,14,89.3071,7.442258333333334,6.379078571428572,0.5710632189378,14,14,3.642857142857143,5.0,51.0
7713,Grappa,0.225,80,343.5193,8.808187179487179,4.2939912499999995,0.4919665357958054,80,80,2.1125,18.0,169.0
7702,Roloi: Dynamic payments,0.35714285714285715,14,35.1638,2.5117000000000003,2.3442533333333335,0.625643417378099,15,14,1.5714285714285714,5.0,22.0
7697,Take Up Space → Onboarding & Empowering BIPOC & LGBTQ+ Changemakers In Web3,0.691358024691358,162,1317.5953,7.616157803468208,4.8619752767527675,0.7544046339570276,271,162,6.135802469135802,112.0,994.0
7693,Metaversité,0.25,24,50.6468,2.1102833333333333,2.1102833333333333,0.9674846189690168,24,24,2.0416666666666665,6.0,49.0
7692,Malicious Contract Detector,0.921875,192,111.1234,0.5698635897435897,0.5612292929292929,12.751589674182036,198,192,7.380208333333333,177.0,1417.0
7687,Switch,0.5862068965517241,29,128.7015,4.950057692307693,4.43798275862069,1.2975761743258625,29,29,5.758620689655173,17.0,167.0
7686,Talk to Me About Water,0.45454545454545453,11,135.6206,12.329145454545454,12.329145454545454,0.39816959960360004,11,11,4.909090909090909,5.0,54.0
7684,Green Academy,0.6764705882352942,68,391.236,5.927818181818182,4.496965517241379,0.9457207414450614,87,68,5.4411764705882355,46.0,370.0
7675,Contri,0.5272727272727272,55,198.2951,3.050693846153846,2.959628358208955,1.4826387540589758,67,55,5.345454545454546,29.0,294.0
7674,Oh my SEO,0.5,12,77.0754,6.42295,5.928876923076923,0.8044071130347685,13,12,5.166666666666667,6.0,62.0
7672,Forta Agent: Contract impersonations Detector,0.7933884297520661,242,234.1474,0.9756141666666667,0.9479651821862348,6.3250755720541845,247,242,6.119834710743802,192.0,1481.0
7669,FAVELAVERSO - Social Inclusion through the Web 3,0.7741935483870968,31,68.4828,2.4458142857142855,2.209122580645161,3.738164911481423,31,31,8.258064516129032,24.0,256.0
7658,Forta Agent: Money Laundering Detector for Umbra Protocol.,0.9187817258883249,197,66.3456,0.33007761194029855,0.3284435643564357,21.77989195967781,202,197,7.33502538071066,181.0,1445.0
7656,🌳🏠DAO - Solarpunk & Regen Village builders Book.,0.6428571428571429,28,244.011,8.714678571428571,8.714678571428571,0.528664691345882,28,28,4.607142857142857,18.0,129.0
7647,Web3 Women in Science,0.7213114754098361,183,876.1162,4.660192553191489,2.9901576791808875,1.4518622073190748,293,183,6.950819672131147,132.0,1272.0
7641,Bu Zhi DAO - Taiwan Web3 Education,0.4098360655737705,122,596.3159,5.521443518518519,4.84809674796748,0.7881728459697284,123,122,3.8524590163934427,50.0,470.0
7638,zk nullifiers: New Cryptography for Sybil-Resistant Anonymity,0.6172106824925816,337,1761.7448,4.976680225988701,3.8976654867256637,0.7356343552142172,452,337,3.8456973293768546,208.0,1296.0
7636,Psychology Research & App,0.7027027027027027,37,523.4704,14.956297142857144,13.775536842105264,0.3916171764439785,38,37,5.54054054054054,26.0,205.0
7630,Cryo DAO  - Funding translational cryonics research,0.5909090909090909,22,93.6294,4.458542857142858,4.07084347826087,1.28164871290428,23,22,5.454545454545454,13.0,120.0
7623,REGEN LEAGUE: Protecting the Amazon Rainforest,0.8095238095238095,21,82.6359,3.9350428571428573,3.9350428571428573,2.0814198187470576,21,21,8.19047619047619,17.0,172.0
7621,Saplings NFT,0.6428571428571429,14,121.938,8.1292,8.1292,0.4674506716528072,15,14,4.071428571428571,9.0,57.0
7617,DeSciWorld - P2P Research Funding; Collectivised Grant,0.6057692307692307,104,627.1058,6.271058,5.860801869158879,0.8005028816509112,107,104,4.826923076923077,63.0,502.0
7615,Ethereum Uncensored,0.6785714285714286,28,188.5026,6.732235714285714,6.500089655172414,1.1989224551809896,29,28,8.071428571428571,19.0,226.0
7610,Regenerative Science Methodology Facilitation,0.7333333333333333,15,37.0028,2.4668533333333333,2.4668533333333333,2.4052233885003296,15,15,5.933333333333334,11.0,89.0
7604,"Ceres-We already have 250,000 address data",0.33147632311977715,359,10721.3966,35.03724379084967,17.750656622516555,0.10493035953916675,604,359,3.1337047353760448,119.0,1125.0
7601,Soul Wallet,0.46384039900249374,401,1108.4667,2.88663203125,2.677455797101449,1.4804233631916954,414,401,4.092269326683292,186.0,1641.0
7598,TEMPLE OF THE FOX,0.16666666666666666,12,112.2564,9.3547,9.3547,0.18707173933958332,12,12,1.75,2.0,21.0
7597,"Scriptus, a marketplace for research as collectible art",0.5714285714285714,14,35.4944,2.5353142857142856,2.5353142857142856,1.6904075009015507,14,14,4.285714285714286,8.0,60.0
7588,Open Source Attention,0.75,32,487.7099,16.256996666666666,14.779087878787879,0.48799501506940907,33,32,7.4375,24.0,238.0
7585,Project Toninas: Lahille's bottlenose dolphin as a coastal sentinel,0.6869565217391305,115,632.1243,6.197297058823529,5.449347413793103,1.1168689449211178,116,115,6.139130434782609,79.0,706.0
